Education system,2000,2003,2006,2009,2012,2015,2018,2022
Albania,1,,,1,1,1,1,1
Algeria,,,,,,1,,
Argentina,1,,1,1,1,1,1,1
Australia,1,1,1,1,1,1,1,1
Austria,1,1,1,1,1,1,1,1
Azerbaijan,,,1,1,,,,
Baku City-Azerbaijan,,,,,,,1,1
Belarus,,,,,,,1,
Belgium,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,,,,,,,1,
Brazil,1,1,1,1,1,1,1,1
Brunei Darussalam,,,,,,,1,1
B-S-J-G-China,,,,,,1,,
B-S-J-Z-China,,,,,,,1,
Buenos Aires-Argentina,,,,,,1,,
Bulgaria,1,,1,1,1,1,1,1
Cambodia,,,,,,,,1
Canada,1,1,1,1,1,1,1,1
Chile,1,,1,1,1,1,1,1
Chinese Taipei,,,1,1,1,1,1,1
Colombia,,,1,1,1,1,1,1
Costa Rica,,,,1,1,1,1,1
Croatia,,,1,1,1,1,1,1
Cyprus,,,,,1,1,1,1
Czech Republic,1,1,1,1,1,1,1,1
Denmark,1,1,1,1,1,1,1,1
Dominican Republic,,,,,,1,1,1
Dubai-United Arab Emirates,,,,1,,,,
El Salvador,,,,,,,,1
Estonia,,,1,1,1,1,1,1
Finland,1,1,1,1,1,1,1,1
France,1,1,1,1,1,1,1,1
Georgia,,,,1,,1,1,1
Germany,1,1,1,1,1,1,1,1
Greece,1,1,1,1,1,1,1,1
Guatemala,,,,,,,,1
Himachal Pradesh-India,,,,1,,,,
Hong Kong-China,1,1,1,1,1,1,1,1
Hungary,1,1,1,1,1,1,1,1
Iceland,1,1,1,1,1,1,1,1
Indonesia,1,1,1,1,1,1,1,1
Ireland,1,1,1,1,1,1,1,1
Israel,1,,1,1,1,1,1,1
Italy,1,1,1,1,1,1,1,1
Jamaica,,,,,,,,1
Japan,1,1,1,1,1,1,1,1
Jordan,,,1,1,1,1,1,1
Kazakhstan,,,,1,1,1,1,1
Korea, Republic of,1,1,1,1,1,1,1,1
Kosovo,,,,,,1,1,1
Kyrgyz Republic,,,1,1,,,,
Latvia,1,1,1,1,1,1,1,1
Lebanon,,,,,,1,1,
Liechtenstein,1,1,1,1,1,,,
Lithuania,,,1,1,1,1,1,1
Luxembourg,1,1,1,1,1,1,1,
Macao-China,,1,1,1,1,1,1,1
Malaysia,,,,1,1,1,1,1
Malta,,,,1,,1,1,1
Mauritius,,,,1,,,,
Mexico,1,1,1,1,1,1,1,1
Miranda-Venezuela,,,,1,,,,
Moldova, Republic of,,,,1,,1,1,1
Mongolia,,,,,,,,1
Montenegro, Republic of,,,1,1,1,1,1,1
Morocco,,,,,,,1,1
Netherlands,1,1,1,1,1,1,1,1
New Zealand,1,1,1,1,1,1,1,1
North Macedonia, Republic of,1,,,,,1,1,1
Norway,1,1,1,1,1,1,1,1
Palestinian Authority,,,,,,,,1
Panama,,,,1,,,1,1
Paraguay,,,,,,,,1
Peru,1,,,1,1,1,1,1
Philippines,,,,,,,1,1
Poland,1,1,1,1,1,1,1,1
Portugal,1,1,1,1,1,1,1,1
Qatar,,,1,1,1,1,1,1
Romania,1,,1,1,1,1,1,1
Russian Federation,1,1,1,1,1,1,1,
Saudi Arabia,,,,,,,1,1
Serbia,,,1,1,1,,1,1
Serbia and Montenegro,,1,,,,,,
Shanghai-China,,,,1,1,,,
Singapore,,,,1,1,1,1,1
Slovak Republic,,1,1,1,1,1,1,1
Slovenia,,,1,1,1,1,1,1
Spain,1,1,1,1,1,1,1,1
Sweden,1,1,1,1,1,1,1,1
Switzerland,1,1,1,1,1,1,1,1
Tamil Nadu-India,,,,1,,,,
Thailand,1,1,1,1,1,1,1,1
Trinidad and Tobago,,,,1,,1,,
Tunisia,,1,1,1,1,1,,
Turkiye,,1,1,1,1,1,1,1
Ukraine,,,,,,,1,
Ukraine (18 of 27 Regions),,,,,,,,1
United Arab Emirates,,,,1,1,1,1,1
United Kingdom,1,1,1,1,1,1,1,1
United States,1,1,1,1,1,1,1,1
Uruguay,,1,1,1,1,1,1,1
Uzbekistan,,,,,,,,1
Vietnam,,,,,1,1,1,1

